Class,F1_score,Precision,Recall,Support
alt.atheism,0.50,0.54,0.46,260
comp.graphics,0.61,0.62,0.59,317
comp.os.ms-windows.misc,0.58,0.59,0.56,315
comp.sys.ibm.pc.hardware,0.58,0.59,0.57,321
comp.sys.mac.hardware,0.53,0.57,0.50,309
comp.windows.x,0.67,0.61,0.75,326
misc.forsale,0.69,0.70,0.68,320
rec.autos,0.64,0.67,0.62,311
rec.motorcycles,0.65,0.65,0.65,323
rec.sport.baseball,0.80,0.79,0.81,318
rec.sport.hockey,0.83,0.82,0.83,325
sci.crypt,0.72,0.71,0.73,321
sci.electronics,0.57,0.59,0.55,319
sci.med,0.81,0.76,0.87,320
sci.space,0.75,0.73,0.76,318
soc.religion.christian,0.70,0.61,0.82,325
talk.politics.guns,0.64,0.59,0.70,295
talk.politics.mideast,0.74,0.70,0.77,306
talk.politics.misc,0.53,0.55,0.52,251
talk.religion.misc,0.12,0.36,0.07,201
