Class,F1_score,Precision,Recall,Support
alt.atheism,0.57,0.56,0.58,260
comp.graphics,0.58,0.60,0.57,318
comp.os.ms-windows.misc,0.63,0.65,0.60,316
comp.sys.ibm.pc.hardware,0.65,0.63,0.67,321
comp.sys.mac.hardware,0.69,0.69,0.69,309
comp.windows.x,0.75,0.73,0.76,326
misc.forsale,0.77,0.78,0.75,320
rec.autos,0.71,0.69,0.73,311
rec.motorcycles,0.72,0.73,0.71,323
rec.sport.baseball,0.81,0.82,0.81,318
rec.sport.hockey,0.88,0.89,0.87,325
sci.crypt,0.77,0.79,0.75,321
sci.electronics,0.64,0.61,0.67,319
sci.med,0.78,0.77,0.78,320
sci.space,0.75,0.76,0.75,318
soc.religion.christian,0.74,0.72,0.77,325
talk.politics.guns,0.68,0.64,0.71,295
talk.politics.mideast,0.80,0.80,0.79,306
talk.politics.misc,0.55,0.55,0.56,252
talk.religion.misc,0.44,0.51,0.38,202
