Class,F1_score,Precision,Recall,Support
alt.atheism,0.48,0.51,0.45,260
comp.graphics,0.57,0.59,0.55,318
comp.os.ms-windows.misc,0.56,0.58,0.54,316
comp.sys.ibm.pc.hardware,0.56,0.55,0.58,321
comp.sys.mac.hardware,0.58,0.61,0.56,309
comp.windows.x,0.66,0.64,0.68,326
misc.forsale,0.72,0.71,0.72,320
rec.autos,0.71,0.68,0.75,311
rec.motorcycles,0.68,0.69,0.66,323
rec.sport.baseball,0.85,0.85,0.85,318
rec.sport.hockey,0.91,0.91,0.91,325
sci.crypt,0.72,0.69,0.75,321
sci.electronics,0.63,0.65,0.62,319
sci.med,0.81,0.80,0.81,320
sci.space,0.78,0.76,0.80,318
soc.religion.christian,0.70,0.62,0.81,325
talk.politics.guns,0.65,0.61,0.69,295
talk.politics.mideast,0.83,0.80,0.87,306
talk.politics.misc,0.57,0.60,0.54,252
talk.religion.misc,0.14,0.36,0.09,202
