Class,F1_score,Precision,Recall,Support
alt.atheism,0.31,0.94,0.19,259
comp.graphics,0.71,0.70,0.72,317
comp.os.ms-windows.misc,0.69,0.70,0.68,315
comp.sys.ibm.pc.hardware,0.64,0.56,0.76,321
comp.sys.mac.hardware,0.74,0.86,0.64,309
comp.windows.x,0.80,0.76,0.85,326
misc.forsale,0.81,0.81,0.82,319
rec.autos,0.81,0.86,0.76,311
rec.motorcycles,0.80,0.86,0.75,323
rec.sport.baseball,0.86,0.91,0.81,317
rec.sport.hockey,0.88,0.84,0.93,324
sci.crypt,0.75,0.66,0.87,320
sci.electronics,0.71,0.81,0.63,318
sci.med,0.86,0.90,0.83,319
sci.space,0.82,0.86,0.78,318
soc.religion.christian,0.51,0.34,0.95,324
talk.politics.guns,0.73,0.75,0.72,295
talk.politics.mideast,0.81,0.75,0.87,305
talk.politics.misc,0.43,0.95,0.27,251
talk.religion.misc,0.03,1.00,0.01,201
