Class,F1_score,Precision,Recall,Support
alt.atheism,0.29,0.85,0.17,260
comp.graphics,0.62,0.61,0.63,318
comp.os.ms-windows.misc,0.68,0.77,0.61,316
comp.sys.ibm.pc.hardware,0.63,0.54,0.76,321
comp.sys.mac.hardware,0.71,0.84,0.62,309
comp.windows.x,0.76,0.69,0.83,326
misc.forsale,0.81,0.81,0.82,320
rec.autos,0.82,0.90,0.76,311
rec.motorcycles,0.81,0.92,0.72,323
rec.sport.baseball,0.88,0.92,0.84,318
rec.sport.hockey,0.89,0.87,0.92,325
sci.crypt,0.72,0.61,0.89,321
sci.electronics,0.71,0.80,0.64,319
sci.med,0.84,0.88,0.81,320
sci.space,0.81,0.87,0.76,318
soc.religion.christian,0.52,0.35,0.97,325
talk.politics.guns,0.72,0.70,0.74,295
talk.politics.mideast,0.80,0.74,0.87,306
talk.politics.misc,0.37,0.94,0.23,252
talk.religion.misc,0.03,1.00,0.01,202
