Class,F1_score,Precision,Recall,Support
alt.atheism,0.54,0.53,0.55,260
comp.graphics,0.61,0.60,0.62,317
comp.os.ms-windows.misc,0.62,0.60,0.65,315
comp.sys.ibm.pc.hardware,0.64,0.61,0.67,321
comp.sys.mac.hardware,0.67,0.71,0.63,309
comp.windows.x,0.77,0.77,0.77,326
misc.forsale,0.74,0.77,0.72,320
rec.autos,0.69,0.69,0.70,311
rec.motorcycles,0.70,0.71,0.68,323
rec.sport.baseball,0.82,0.82,0.82,318
rec.sport.hockey,0.86,0.87,0.85,325
sci.crypt,0.78,0.81,0.75,321
sci.electronics,0.63,0.64,0.63,319
sci.med,0.76,0.73,0.81,320
sci.space,0.76,0.78,0.73,318
soc.religion.christian,0.75,0.75,0.75,325
talk.politics.guns,0.66,0.63,0.70,295
talk.politics.mideast,0.77,0.78,0.75,306
talk.politics.misc,0.60,0.57,0.63,251
talk.religion.misc,0.42,0.47,0.38,201
