Class,F1_score,Precision,Recall,Support
alt.atheism,0.46,0.51,0.41,259
comp.graphics,0.58,0.57,0.59,317
comp.os.ms-windows.misc,0.56,0.58,0.55,315
comp.sys.ibm.pc.hardware,0.53,0.56,0.50,321
comp.sys.mac.hardware,0.54,0.57,0.51,309
comp.windows.x,0.67,0.65,0.69,326
misc.forsale,0.68,0.64,0.74,319
rec.autos,0.72,0.72,0.72,311
rec.motorcycles,0.72,0.73,0.71,323
rec.sport.baseball,0.81,0.82,0.79,317
rec.sport.hockey,0.85,0.84,0.86,324
sci.crypt,0.72,0.69,0.75,320
sci.electronics,0.62,0.63,0.60,318
sci.med,0.81,0.77,0.86,319
sci.space,0.73,0.71,0.75,318
soc.religion.christian,0.70,0.62,0.81,324
talk.politics.guns,0.66,0.62,0.71,295
talk.politics.mideast,0.76,0.74,0.79,305
talk.politics.misc,0.54,0.56,0.52,251
talk.religion.misc,0.17,0.44,0.10,201
