Class,F1_score,Precision,Recall,Support
alt.atheism,0.48,0.55,0.43,259
comp.graphics,0.61,0.59,0.62,317
comp.os.ms-windows.misc,0.59,0.61,0.58,315
comp.sys.ibm.pc.hardware,0.55,0.59,0.51,321
comp.sys.mac.hardware,0.57,0.58,0.55,309
comp.windows.x,0.67,0.66,0.68,326
misc.forsale,0.72,0.68,0.76,319
rec.autos,0.74,0.74,0.74,311
rec.motorcycles,0.72,0.74,0.70,323
rec.sport.baseball,0.85,0.85,0.84,317
rec.sport.hockey,0.91,0.91,0.91,324
sci.crypt,0.72,0.68,0.77,320
sci.electronics,0.60,0.60,0.59,318
sci.med,0.81,0.76,0.86,319
sci.space,0.74,0.72,0.76,318
soc.religion.christian,0.70,0.62,0.79,324
talk.politics.guns,0.66,0.62,0.71,295
talk.politics.mideast,0.79,0.77,0.81,305
talk.politics.misc,0.55,0.57,0.53,251
talk.religion.misc,0.18,0.41,0.11,201
